Desempleo,Cartera Vencida
11.74,7.84
11.81,7.84
11.01,7.71
11.09,7.73
11.52,7.5
11.29,7.21
11.07,7.26
10.78,7.06
10.51,6.95
10.61,7.08
10.52,6.72
10.73,6.43
10.70,6.68
10.67,6.78
10.54,6.81
10.93,6.98
10.95,6.89
10.53,6.82
10.63,6.91
10.30,6.87
10.72,6.92
10.45,6.83
10.58,6.81
10.53,6.41
10.25,6.67
10.54,6.75
10.34,6.85
10.34,6.82
9.79,6.71
9.83,6.63
9.72,6.61
9.91,6.65
9.73,6.63
9.36,6.65
9.85,6.74
9.17,6.52
9.41,6.71
9.62,6.78
9.71,6.84
9.28,6.82
9.05,6.76
9.77,6.76
9.31,6.74
9.35,6.77
9.10,6.82
9.24,6.63
9.36,6.6
9.56,6.32
8.96,6.62
8.79,6.58
8.92,6.61
9.80,6.67
9.20,6.66
8.91,6.64
8.88,6.61
9.48,6.56
9.52,6.54
9.49,6.57
8.95,6.63
9.35,6.52
9.95,6.75
8.98,6.86
10.21,7.02
9.46,7.06
9.17,7.04
9.65,6.97
9.86,7.15
9.39,7.16
9.25,7.17
9.61,7.23
9.23,7.25
9.70,7.06
9.67,7.72
9.51,7.83
9.65,8
9.32,8.23
9.73,8.34
9.46,8.3
9.60,8.28
9.67,8.42
9.90,8.56
9.64,8.64
10.27,8.7
9.61,8.5
9.81,8.81
9.85,9.12
9.52,9.24
9.90,9.27
9.83,9.33
9.82,9.4
9.73,9.58
9.55,9.38
10.01,9.48
10.22,9.48
10.46,9.36
10.81,9.12
10.74,9.42
10.81,9.54
10.92,9.68
10.78,9.78
10.82,9.65
10.22,9.69
11.01,9.69
11.30,9.5
11.16,9.31
10.97,9.32
11.02,9.26
10.84,9.19
11.12,9.39
11.62,9.42
12.89,9.21
20.55,9.3
21.80,9.18
20.84,9.06
20.71,9.26
17.54,9.87
16.69,10.22
16.18,10.46
15.29,10.66
14.83,10.35
15.14,10.63
14.46,10.71
14.40,10.72
15.46,10.83
15.09,10.92
15.11,10.62
12.92,10.54
12.98,10.5
12.39,10.34
12.85,10.23
12.87,10.12
11.93,9.8
12.30,10.03
11.89,9.92
11.77,9.77
11.06,9.59
10.58,9.43
11.72,9.22
10.92,8.98
10.78,8.9
11.19,8.78
10.53,8.8
10.76,8.76
11.03,8.66
11.41,8.97
10.39,9.13
9.66,9.37
10.59,9.66
10.43,9.75
9.80,9.68
9.53,9.77
9.44,9.75
9.70,9.86
10.03,10.16
10.22,10.16
10.72,10.14
